Mean,Median,Std,Variance,Min,Max,Range,Date
66.60217391304347,66.1,1.7886666828717586,3.19932850241546,63.0,69.7,6.700000000000003,2021-11-14
74.13725490196079,74.3,2.078072259024091,4.318384313725489,69.7,77.2,7.5,2021-11-15
67.54736842105262,68.1,1.8056573022115445,3.260398293029873,63.8,69.3,5.5,2021-11-16
67.032,67.35,1.702272190997932,2.8977306122448994,62.8,69.6,6.799999999999997,2021-11-17
69.62666666666667,69.7,1.1208840048733641,1.2563809523809517,67.8,71.6,3.799999999999997,2021-11-18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-29
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-12-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-12-02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-12-03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-12-04
