Mean,Median,Std,Variance,Min,Max,Range,Date
19.454347826086956,19.1,0.8164167023549055,0.6665362318840584,18.9,21.3,2.400000000000002,2021-11-14
19.541176470588237,19.2,0.6946010280983564,0.4824705882352938,19.0,21.1,2.1000000000000014,2021-11-15
19.292105263157893,18.7,0.9771391167510715,0.954800853485064,18.6,21.2,2.599999999999998,2021-11-16
18.236,17.9,1.0630644959027555,1.13010612244898,16.8,21.6,4.800000000000001,2021-11-17
18.58,18.5,0.19712215212183257,0.038857142857142896,18.3,19.0,0.6999999999999993,2021-11-18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-29
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-12-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-12-02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-12-03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-12-04
18.225454545454546,17.8,1.097508657152759,1.2045252525252523,17.0,20.3,3.3000000000000007,2021-12-05
17.483720930232558,17.2,0.8428777894124557,0.710442967884828,16.8,20.4,3.599999999999998,2021-12-06
17.893478260869564,17.5,0.9312839819692289,0.8672898550724631,17.0,20.0,3.0,2021-12-07
16.38372093023256,16.2,2.83573541587314,8.04139534883721,0.0,19.6,19.6,2021-12-08
17.66190476190476,17.0,1.191013583701772,1.4185133565621375,16.7,19.9,3.1999999999999993,2021-12-09
17.333333333333332,17.3,0.12247448713915896,0.015000000000000012,17.2,17.5,0.3000000000000007,2021-12-10
18.51914893617021,18.0,1.1789159165120155,1.3898427382053657,17.3,20.8,3.5,2021-12-11
18.558139534883722,17.9,1.125935073434634,1.2677297895902548,17.7,20.8,3.1000000000000014,2021-12-12
