Mean,Median,Std,Variance,Min,Max,Range,Date
66.60217391304347,66.1,1.7886666828717586,3.19932850241546,63.0,69.7,6.700000000000003,2021-11-14
74.13725490196079,74.3,2.078072259024091,4.318384313725489,69.7,77.2,7.5,2021-11-15
67.54736842105262,68.1,1.8056573022115445,3.260398293029873,63.8,69.3,5.5,2021-11-16
67.032,67.35,1.702272190997932,2.8977306122448994,62.8,69.6,6.799999999999997,2021-11-17
69.62666666666667,69.7,1.1208840048733641,1.2563809523809517,67.8,71.6,3.799999999999997,2021-11-18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-29
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-12-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-12-02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-12-03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-12-04
62.42545454545454,62.5,1.4574480718553517,2.124154882154883,59.2,64.5,5.299999999999997,2021-12-05
68.07209302325582,68.3,1.8527104444949403,3.4325359911406395,64.7,70.6,5.8999999999999915,2021-12-06
63.880434782608695,63.7,3.0235093344741255,9.14160869565217,57.1,68.1,10.999999999999993,2021-12-07
64.26511627906977,65.8,10.291487090492621,105.9147065337763,0.0,69.1,69.1,2021-12-08
63.016666666666666,62.7,1.5615684214786583,2.4384959349593482,60.5,65.6,5.099999999999994,2021-12-09
65.34444444444445,65.3,0.4333333333333322,0.18777777777777677,64.7,66.2,1.5,2021-12-10
58.787234042553195,58.9,2.807955857239785,7.884616096207216,52.0,62.7,10.700000000000003,2021-12-11
68.68139534883721,69.4,1.976318825969792,3.905836101882617,64.4,71.1,6.699999999999989,2021-12-12
